       t(ticks) ;         id_viat ;          destin ;      t_estacion ;          t_vida ;          observ
            661 ;             104 ;               E ;              50 ;              50 ;           saida
            661 ;             113 ;               O ;              20 ;               0 ;       encerrado
            661 ;             112 ;               E ;              90 ;               0 ;         entrada
            661 ;             114 ;               N ;              90 ;               0 ;       encerrado
            671 ;             100 ;               E ;              70 ;              70 ;           saida
            671 ;             115 ;               S ;              10 ;               0 ;       encerrado
            681 ;             103 ;               E ;              70 ;              70 ;           saida
            681 ;             116 ;               E ;              90 ;               0 ;       encerrado
            691 ;              99 ;               S ;             100 ;             100 ;           saida
            691 ;             106 ;               O ;              80 ;              80 ;           saida
            691 ;             108 ;               O ;              80 ;              80 ;           saida
            691 ;             109 ;               S ;              70 ;              70 ;           saida
            691 ;             117 ;               E ;             100 ;               0 ;       encerrado
            691 ;             118 ;               S ;              30 ;               0 ;       encerrado
            701 ;             110 ;               O ;              60 ;              60 ;           saida
            702 ;             119 ;               S ;              20 ;               0 ;       encerrado
            711 ;             102 ;               S ;             100 ;             100 ;           saida
            721 ;             111 ;               N ;              70 ;              70 ;           saida
            722 ;             120 ;               O ;              40 ;               0 ;       encerrado
            722 ;             121 ;               E ;              10 ;               0 ;       encerrado
            722 ;             122 ;               N ;              50 ;               0 ;       encerrado
            722 ;             123 ;               N ;              50 ;               0 ;       encerrado
            722 ;             124 ;               N ;              30 ;               0 ;       encerrado
            742 ;             125 ;               O ;              60 ;               0 ;       encerrado
            742 ;             126 ;               O ;             100 ;               0 ;       encerrado
            751 ;             112 ;               E ;              90 ;              90 ;           saida
            752 ;             127 ;               E ;              60 ;               0 ;       encerrado
            752 ;             128 ;               S ;              80 ;               0 ;       encerrado
            752 ;             129 ;               S ;              20 ;               0 ;       encerrado
            752 ;             130 ;               E ;              40 ;               0 ;       encerrado
            772 ;             131 ;               E ;              60 ;               0 ;       encerrado
            772 ;             132 ;               E ;              40 ;               0 ;       encerrado
            792 ;             133 ;               E ;              50 ;               0 ;       encerrado
            802 ;             134 ;               E ;              80 ;               0 ;       encerrado
            802 ;             135 ;               O ;              80 ;               0 ;       encerrado
            802 ;             136 ;               N ;              10 ;               0 ;       encerrado
            802 ;             137 ;               O ;              60 ;               0 ;       encerrado
            802 ;             138 ;               O ;              70 ;               0 ;       encerrado
            812 ;             139 ;               S ;              50 ;               0 ;       encerrado
            822 ;             140 ;               N ;              80 ;               0 ;       encerrado
            832 ;             141 ;               E ;              80 ;               0 ;       encerrado
            852 ;             142 ;               S ;              70 ;               0 ;       encerrado
            872 ;             143 ;               E ;              30 ;               0 ;       encerrado
            892 ;             144 ;               N ;              50 ;               0 ;       encerrado
            892 ;             145 ;               E ;              90 ;               0 ;       encerrado
            892 ;             146 ;               O ;              90 ;               0 ;       encerrado
            902 ;             147 ;               O ;              70 ;               0 ;       encerrado
            902 ;             148 ;               E ;             100 ;               0 ;       encerrado
            902 ;             149 ;               S ;              90 ;               0 ;       encerrado
            912 ;             150 ;               O ;              20 ;               0 ;       encerrado
            922 ;             151 ;               E ;              10 ;               0 ;       encerrado
            932 ;             152 ;               S ;              10 ;               0 ;       encerrado
            952 ;             153 ;               S ;              50 ;               0 ;       encerrado
            952 ;             154 ;               S ;              50 ;               0 ;       encerrado
            962 ;             155 ;               E ;              10 ;               0 ;       encerrado
            972 ;             156 ;               N ;             100 ;               0 ;       encerrado
            972 ;             157 ;               O ;              20 ;               0 ;       encerrado
            972 ;             158 ;               E ;              50 ;               0 ;       encerrado
            992 ;             159 ;               S ;              70 ;               0 ;       encerrado
            992 ;             160 ;               E ;              50 ;               0 ;       encerrado
     1719590192 ;               ? ;               ? ;               ? ;               ? ;           fecho
